team,elo
Kuwait,1309.4457945694326
Jordan,1445.0485776583034
Bahrain,1352.3539205835107
Namibia,1308.435122896384
Ghana,1402.4549385817686
Nigeria,1531.279984478563
Ethiopia,1298.482850794034
Qatar,1374.3128368799426
Zimbabwe,1327.5981982965507
Gabon,1377.81394944484
Moldova,1151.9174882690668
Norway,1503.6532494534422
Sweden,1437.863844736876
Poland,1432.755088933245
Iceland,1325.5175667242715
Chile,1396.5095522067618
Costa Rica,1430.8263693337924
Oman,1410.8628073445143
Finland,1312.2689362219232
South Korea,1554.4278416890586
Mexico,1530.0491129646596
United States,1473.5976055450863
Singapore,1297.70901782278
Lebanon,1347.4774697223788
Pakistan,1254.0217504562124
Iraq,1471.0530751328429
North Korea,1375.7137633223233
Sealand,1513.436235564137
Chagos Islands,1410.5547922149651
Gibraltar,1086.5556844147038
Faroe Islands,1206.7098100665444
Malaysia,1407.7361039955194
Philippines,1311.7990437328424
Iran,1584.9649150478326
Portugal,1594.8524432119962
Cameroon,1470.365048383467
Scotland,1432.5743543898911
Azerbaijan,1202.9980194387117
Tanzania,1273.673400473183
Montenegro,1279.098855075968
Morocco,1621.1185914320793
Mauritania,1309.635904514093
Niger,1314.7084575736676
Mali,1487.3411990625866
Senegal,1595.2125646843242
Malawi,1306.8071631371342
Mozambique,1345.9346733544796
Angola,1387.8953043419183
Romania,1370.0622963040148
Argentina,1660.0498298286825
Yemen,1276.2432050429793
Saudi Arabia,1423.7670054340213
Indonesia,1342.0192913671165
South Africa,1441.1157069652795
Brazil,1592.1224493275683
Spain,1658.7003577946257
Italy,1552.8967216946498
Saint Lucia,1347.0141700818806
Jamaica,1430.770187628103
Switzerland,1506.203476587878
Croatia,1547.8327397403693
Thailand,1414.5524793975862
Turkey,1517.5644537874923
Ukraine,1474.0552720175988
Uzbekistan,1505.7078314965904
United Arab Emirates,1425.2506718167417
Vietnam,1403.2239250643163
Hong Kong,1316.1605348159203
Wales,1410.7764287391112
North Macedonia,1346.145519822876
Latvia,1179.0725209509017
Zambia,1372.1915458428011
Uganda,1368.1620774304622
Russia,1510.1526207435195
Armenia,1209.0438027953926
Luxembourg,1212.3158164250135
Cape Verde,1442.3348260567375
Greece,1431.356460088766
Kazakhstan,1260.3950671201342
Lithuania,1150.3013019234047
Albania,1346.4925769784104
Malta,1177.5053326879981
Algeria,1594.574679007934
Slovenia,1417.9206129905099
Andorra,1073.082749421101
Australia,1525.4395236705182
Ecuador,1524.0432077888847
Austria,1512.4107257875853
Uruguay,1518.4294733257004
Belgium,1563.8226744803417
Ivory Coast,1536.4391503034924
Bosnia and Herzegovina,1349.2215964000038
Egypt,1529.384319428744
Botswana,1292.935027083117
South Sudan,1240.554772003007
Bulgaria,1279.8478060963062
Belarus,1297.9430556601797
Burkina Faso,1464.17899987066
Comoros,1323.509564216272
Burundi,1312.1665531556039
Rwanda,1325.0158578229052
Kosovo,1387.8406426587094
Haiti,1437.7937761522435
Cyprus,1182.28617747094
Northern Ireland,1340.7487469885605
Czech Republic,1443.9427173265726
Colombia,1567.5408116370681
Tunisia,1487.1587772575333
France,1627.8287353069568
Netherlands,1556.4928407814682
Syria,1383.0053475883747
Japan,1597.6679429369049
New Zealand,1420.6334129804598
Israel,1349.6927148143502
Slovakia,1392.97517758989
England,1588.7133968126045
Denmark,1518.5617329200531
China,1365.2953179037975
Guinea,1389.0689310507698
Republic of Ireland,1396.619694660544
Serbia,1459.4332197665453
Hungary,1427.1815536910012
Estonia,1218.310095349238
Germany,1563.9201455793711
Georgia,1369.2589225119916
Liechtenstein,1013.9362061501224
India,1254.8412455075209
Bangladesh,1227.405853034212
Lesotho,1272.8364143123028
Eswatini,1272.1177979689203
Alderney,1361.2246607172103
Guernsey,1529.805896163134
Martinique,1370.6259283460781
Nepal,1227.256416102572
Aruba,1326.9547193291792
Guam,1268.1582939604816
