team,form,avg_scored,avg_conceded
Alderney,0.2,1.2,3.8
Greenland,0.26666666666666666,1.0,3.6
Hong Kong,0.3333333333333333,1.0,1.2
Guinea-Bissau,0.26666666666666666,0.6,1.6
British Virgin Islands,0.6666666666666666,2.6,1.0
Saint Helena,0.0,0.6,3.8
Morocco,0.26666666666666666,,
Israel,0.5333333333333333,1.4,1.2
India,0.06666666666666667,0.4,1.6
Pakistan,0.6666666666666666,1.6,1.2
Vanuatu,0.6666666666666666,1.8,1.2
Costa Rica,0.13333333333333333,0.6,2.6
Algeria,0.4,,
Colombia,0.4,,
Délvidék,0.5,2.0,1.5
French Guiana,0.13333333333333333,1.4,2.0
Botswana,0.2,0.2,2.0
Ghana,0.06666666666666667,,
Timor-Leste,0.2,0.6,2.6
Corsica,0.5555555555555556,1.0,0.6666666666666666
Norway,0.26666666666666666,,
Western Armenia,0.3333333333333333,1.6,1.0
Nicaragua,0.26666666666666666,0.6,1.8
Moldova,0.13333333333333333,1.2,2.4
Switzerland,0.26666666666666666,,
Tamil Eelam,1.0,3.4,0.6
Sápmi,0.2,0.8,2.6
Myanmar,0.26666666666666666,1.8,3.0
Darfur,0.0,0.0,15.25
Namibia,0.06666666666666667,0.0,2.0
Saint Vincent and the Grenadines,0.6,1.6,1.6
Croatia,0.2,,
Yoruba Nation,0.16666666666666666,0.5,1.0
Suriname,0.3333333333333333,1.6,1.4
Kuwait,0.3333333333333333,1.4,1.8
Panama,0.26666666666666666,,
Madagascar,0.4666666666666667,1.8,2.2
Bulgaria,0.6666666666666666,3.0,1.2
South Korea,0.6,,
Basque Country,0.7333333333333333,2.0,0.8
Vietnam,0.8,1.8,1.0
Netherlands,0.2,,
Mozambique,0.2,0.8,2.0
England,0.4,,
Nepal,0.13333333333333333,0.6,1.4
Yorkshire,0.8,4.0,2.0
Anguilla,0.4,1.0,2.6
Slovakia,0.4666666666666667,1.8,2.6
Orkney,0.6,2.0,1.6
Chameria,0.5333333333333333,1.8,0.8
Hmong,0.3333333333333333,2.0,3.3333333333333335
Maule Sur,1.0,1.0,0.0
Chile,0.6,2.0,2.0
Taiwan,0.0,0.6,4.0
Samoa,0.4,1.0,3.2
Central African Republic,0.26666666666666666,0.8,2.6
Honduras,0.3333333333333333,1.0,1.2
Marshall Islands,0.0,1.0,3.5
Argentina,0.4,,
Székely Land,0.4666666666666667,3.0,1.8
Rwanda,0.6,1.4,0.8
Two Sicilies,0.0,0.5,5.0
