team,elo
Argentina,1877.27
Spain,1874.71
France,1870.70
England,1828.02
Portugal,1767.85
Brazil,1765.34
Morocco,1755.62
Netherlands,1753.57
Belgium,1742.24
Germany,1735.77
Croatia,1714.87
Mexico,1700.98
Colombia,1698.35
United States,1688.53
Senegal,1684.07
Uruguay,1673.07
Japan,1661.58
Switzerland,1640.92
Iran,1619.58
South Korea,1612.55
Turkey,1605.73
Ecuador,1598.52
Austria,1597.40
Australia,1579.34
Algeria,1571.03
Egypt,1562.37
Norway,1557.44
Canada,1551.50
Ivory Coast,1540.87
Panama,1539.16
Scotland,1518.77
Sweden,1509.79
Paraguay,1488.05
Czech Republic,1484.82
Tunisia,1476.41
DR Congo,1474.43
Qatar,1459.45
Uzbekistan,1458.73
Iraq,1446.28
Saudi Arabia,1423.88
South Africa,1414.88
Bosnia and Herzegovina,1395.19
Jordan,1387.74
Cape Verde,1371.11
Ghana,1348.88
Haiti,1302.67
Curaçao,1294.77
New Zealand,1275.58
