team,form,avg_scored,avg_conceded
Argentina,0.4,,
Spain,0.267,,
France,0.2,,
England,0.4,,
Portugal,0.4,,
Brazil,0.4,,
Morocco,0.267,,
Netherlands,0.2,,
Belgium,0.4,,
Germany,0.4,,
Croatia,0.2,,
Mexico,0.6,,
Colombia,0.4,,
United States,0.4,,
Senegal,0.067,,
Uruguay,0.133,,
Japan,0.4,,
Switzerland,0.267,,
Iran,0.4,,
South Korea,0.6,,
Turkey,0.4,,
Ecuador,0.4,,
Austria,0.4,,
Australia,0.067,,
Algeria,0.4,,
Egypt,0.2,,
Norway,0.267,,
Canada,0.333,,
Ivory Coast,0.4,,
Panama,0.267,,
Scotland,0.4,,
Sweden,0.067,,
Paraguay,0.2,,
Czech Republic,0.4,,
Tunisia,0.0,,
DR Congo,0.067,,
Qatar,0.067,,
Uzbekistan,0.0,,
Iraq,0.067,,
Saudi Arabia,0.267,,
South Africa,0.267,,
Bosnia and Herzegovina,0.2,,
Jordan,0.0,,
Cape Verde,0.2,,
Ghana,0.067,,
Haiti,0.2,,
Curaçao,0.2,,
New Zealand,0.0,,
